,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,directors,writers,actor,actress,archive_footage,archive_sound,cinematographer,composer,director_pr,editor,producer,production_designer,self,writer_pr,concat,Unnamed: 0_y,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,ROI_percent,ROI_usd,year,month,inflation,worldwide_gross_inf,domestic_gross_inf,production_budget_inf,ROI_USD_inf
1375,107482,tt6294822,The Post,The Post,2017,116.0,"['Biography', 'Drama', 'History']",7.2,108017.0,['nm0000229'],"['nm2176283', 'nm1802857']","['nm0000158', 'nm0644022']","['nm0000658', 'nm0005299']",,,,['nm0002354'],['nm0000229'],,"['nm1069736', 'nm1166871']",,,"['nm2176283', 'nm1802857']",The Post2017,1108,9,"Dec 22, 2017",The Post,50000000,81903458,179748880,2.5949776,129748880,2017,December,1.11,199521256.8,90912838.38,55500000.00000001,144021256.8
1376,107627,tt6306064,Adrift,Adrift,2018,96.0,"['Action', 'Adventure', 'Biography']",6.6,34115.0,['nm0466349'],"['nm3764118', 'nm3764493', 'nm2434358', 'nm9333207', 'nm10008219']","['nm3510471', 'nm0859005']","['nm0940362', 'nm0370411']",,,,,['nm0466349'],,,,,"['nm10008219', 'nm3764118', 'nm3764493', 'nm2434358', 'nm9333207']",Adrift2018,1688,89,"Jun 1, 2018",Adrift,35000000,31445011,57897191,0.6542054571428572,22897191,2018,June,1.09,63107938.19000001,34275061.99,38150000.0,24957938.190000005
1377,108147,tt6343314,Creed II,Creed II,2018,130.0,"['Drama', 'Sport']",7.2,72503.0,['nm4023702'],"['nm3541432', 'nm0000230', 'nm0672011', 'nm1854539', 'nm3363032']","['nm0430107', 'nm0000230']","['nm1935086', 'nm0711118']",,,,,['nm4023702'],,['nm0153587'],,,"['nm3541432', 'nm0672011', 'nm1854539', 'nm3363032']",Creed II2018,1095,96,"Nov 21, 2018",Creed II,50000000,115715889,213591522,3.27183044,163591522,2018,November,1.09,232814758.98,126130319.01,54500000.00000001,178314758.98000002
1378,108386,tt6359956,A Bad Moms Christmas,A Bad Moms Christmas,2017,104.0,"['Adventure', 'Comedy']",5.5,33056.0,"['nm0524190', 'nm0601859']","['nm0524190', 'nm0601859']",['nm0379596'],"['nm0005109', 'nm0068338', 'nm1063517']",,,['nm0025465'],['nm0501999'],"['nm0524190', 'nm0601859']",['nm1162777'],['nm0865297'],,,,A Bad Moms Christmas2017,2039,40,"Nov 1, 2017",A Bad Moms Christmas,28000000,72110659,127710550,3.5610910714285717,99710550,2017,November,1.11,141758710.5,80042831.49000001,31080000.000000004,110678710.5
1379,109355,tt6421110,Proud Mary,Proud Mary,2018,89.0,"['Action', 'Crime', 'Drama']",4.9,6805.0,['nm0619836'],"['nm1433517', 'nm1582836', 'nm0031078']","['nm0113117', 'nm8091769', 'nm0568180']",['nm0378245'],,,,,['nm0619836'],,"['nm0514626', 'nm1692073']",,,"['nm1433517', 'nm1582836', 'nm0031078']",Proud Mary2018,1949,50,"Jan 12, 2018",Proud Mary,30000000,20868638,21709539,-0.2763487,-8290461,2018,January,1.09,23663397.51,22746815.42,32700000.000000004,-9036602.490000002
1380,109531,tt6428676,Wonder Park,Wonder Park,2019,85.0,"['Adventure', 'Animation', 'Comedy']",5.7,3091.0,['nm0113477'],"['nm0032227', 'nm0625858', 'nm0330565']","['nm0132637', 'nm0860380']","['nm6029853', 'nm0004950']",,,,['nm1888527'],['nm0113477'],,['nm0356280'],,,"['nm0032227', 'nm0625858', 'nm0330565']",Wonder Park2019,393,94,"Mar 15, 2019",Wonder Park,100000000,45216793,115149422,0.15149422,15149422,2019,March,1.07,123209881.54,48381968.51000001,107000000.0,16209881.540000008
1381,110628,tt6450186,I Can Only Imagine,I Can Only Imagine,2018,110.0,"['Biography', 'Drama', 'Family']",7.4,11439.0,"['nm2296528', 'nm3401779']","['nm7237147', 'nm2296528', 'nm3634546', 'nm6804524']","['nm8722479', 'nm0000598', 'nm0012081']",['nm1630992'],,,,,"['nm3401779', 'nm2296528']",,['nm0093906'],,,"['nm7237147', 'nm3634546', 'nm6804524']",I Can Only Imagine2018,3989,90,"Mar 16, 2018",I Can Only Imagine,7000000,83482352,85604221,11.22917442857143,78604221,2018,March,1.09,93308600.89,90995763.68,7630000.000000001,85678600.89
1382,110932,tt6472976,Five Feet Apart,Five Feet Apart,2019,116.0,"['Drama', 'Romance']",7.2,10645.0,['nm1682573'],"['nm5657522', 'nm3037068']","['nm0819850', 'nm2030779']","['nm4726634', 'nm2554997']",,,,"['nm6630425', 'nm0003911']",['nm1682573'],,['nm0776072'],,,"['nm5657522', 'nm3037068']",Five Feet Apart2019,3990,91,"Mar 15, 2019",Five Feet Apart,7000000,45729221,80504421,10.500631571428572,73504421,2019,March,1.07,86139730.47,48930266.47000001,7490000.0,78649730.47
1383,110967,tt6476140,Serenity,Serenity,2019,106.0,"['Drama', 'Mystery', 'Sci-Fi']",5.3,17904.0,['nm1140275'],['nm1140275'],"['nm0000190', 'nm0164809']","['nm0004266', 'nm0000178']",,,['nm0355722'],['nm1818744'],['nm1140275'],['nm1317996'],"['nm0373456', 'nm0788513']",,,,Serenity2019,2292,93,"Jan 25, 2019",Serenity,25000000,8547045,11367029,-0.54531884,-13632971,2019,January,1.07,12162721.03,9145338.15,26750000.0,-14587278.97
1384,111242,tt6495770,Action Point,Action Point,2018,85.0,['Comedy'],5.0,6657.0,['nm1469191'],"['nm1014365', 'nm1015106', 'nm0424216', 'nm0292712', 'nm0431918']","['nm0424216', 'nm0690686', 'nm2045884']",['nm5732956'],,,,,['nm1469191'],,['nm0314088'],,,"['nm1014365', 'nm1015106', 'nm0292712', 'nm0431918']",Action Point2018,2749,50,"Jun 1, 2018",Action Point,19000000,5059608,5103675,-0.7313855263157895,-13896325,2018,June,1.09,5563005.75,5514972.720000002,20710000.0,-15146994.25
1385,111291,tt6499752,Upgrade,Upgrade,2018,100.0,"['Action', 'Sci-Fi', 'Thriller']",7.6,104978.0,['nm1191481'],['nm1191481'],"['nm1334869', 'nm2114889']","['nm2177933', 'nm1980534']",,,['nm2642924'],['nm2396007'],['nm1191481'],,"['nm0089658', 'nm0238879', 'nm2271939']",,,,Upgrade2018,4688,89,"Jun 1, 2018",Upgrade,3000000,11977130,16553285,4.517761666666667,13553285,2018,June,1.09,18043080.65,13055071.7,3270000.0000000005,14773080.650000002
1386,111423,tt6512428,Indivisible,Indivisible,2018,119.0,"['Drama', 'War']",5.6,812.0,['nm3686896'],"['nm3686896', 'nm0570941', 'nm0925322']","['nm1472010', 'nm0313464']","['nm0237711', 'nm0610298']",,,,['nm0590141'],['nm3686896'],,"['nm0602117', 'nm2863272']",,,"['nm0570941', 'nm0925322']",Indivisible2018,4792,93,"Oct 26, 2018",Indivisible,2700000,3511417,3588305,0.3290018518518519,888305,2018,October,1.09,3911252.45,3827444.53,2943000.0,968252.4500000002
1387,112147,tt6565702,Dark Phoenix,Dark Phoenix,2019,113.0,"['Action', 'Adventure', 'Sci-Fi']",6.0,24451.0,['nm1334526'],"['nm0126208', 'nm1079208', 'nm1079211', 'nm1334526', 'nm0456158', 'nm0498278']","['nm0564215', 'nm1055413', 'nm0396558']",['nm2225369'],,,,,['nm1334526'],,,,,"['nm0498278', 'nm0126208', 'nm1079208', 'nm1079211', 'nm0456158']",Dark Phoenix2019,2,3,"Jun 7, 2019",Dark Phoenix,350000000,42762350,149762350,-0.5721075714285714,-200237650,2019,June,1.07,160245714.5,45755714.5,374500000.0,-214254285.5
1388,112885,tt6628394,Bad Times at the El Royale,Bad Times at the El Royale,2018,141.0,"['Crime', 'Drama', 'Mystery']",7.1,86318.0,['nm1206844'],['nm1206844'],"['nm0000313', 'nm0358316']","['nm7248827', 'nm0424848']",,,['nm0568974'],['nm0315974'],['nm1206844'],['nm0489809'],['nm1436246'],['nm0924222'],,,Bad Times at the El Royale2018,1809,10,"Oct 12, 2018",Bad Times at the El Royale,32000000,17839115,29204379,-0.08736315625,-2795621,2018,October,1.09,31832773.110000007,19444635.35,34880000.0,-3047226.889999997
1389,113035,tt6644200,A Quiet Place,A Quiet Place,2018,90.0,"['Drama', 'Horror', 'Sci-Fi']",7.6,305031.0,['nm1024677'],"['nm1456816', 'nm1399714', 'nm1024677']","['nm1024677', 'nm7415871']","['nm1289434', 'nm8075925']",,,,['nm0001937'],,,"['nm0000881', 'nm0286320', 'nm0298181']",,,"['nm1456816', 'nm1399714']",A Quiet Place2018,2865,66,"Apr 6, 2018",A Quiet Place,17000000,188024361,334522294,18.677782,317522294,2018,April,1.09,364629300.46,204946553.49,18530000.0,346099300.46000004
1390,113914,tt6722030,The Intruder,The Intruder,2019,102.0,"['Drama', 'Horror', 'Mystery']",5.5,1912.0,['nm1938064'],['nm0521739'],"['nm0000598', 'nm0797746']","['nm0328709', 'nm7596733']",,,,['nm0952944'],['nm1938064'],,"['nm1939331', 'nm0438205', 'nm2239498']",,,['nm0521739'],The Intruder2019,3871,72,"May 3, 2019",The Intruder,8000000,35095904,36005871,3.500733875,28005871,2019,May,1.07,38526281.97,37552617.28,8560000.0,29966281.97
1391,114488,tt6772950,Truth or Dare,Truth or Dare,2018,100.0,"['Horror', 'Thriller']",5.2,33621.0,['nm0905592'],"['nm0718555', 'nm3273842', 'nm1496753', 'nm0905592']","['nm0692677', 'nm4861659']","['nm1423955', 'nm6556997']",,,,['nm1853865'],['nm0905592'],,['nm0089658'],,,"['nm0718555', 'nm3273842', 'nm1496753']",Truth or Dare2018,4590,91,"Apr 13, 2018",Truth or Dare,3500000,41411015,95127344,26.179241142857148,91627344,2018,April,1.09,103688804.96,45138006.35,3815000.0000000005,99873804.96
